event_id,country,year,strategy,harvest_outcome_pct,downside_pct,rain_anomaly
Solomon Islands_2008,Solomon Islands,2008,cassava_only,3.423408,0,-8.4
Solomon Islands_2008,Solomon Islands,2008,taro_only,5.707133,0,-8.4
Solomon Islands_2008,Solomon Islands,2008,sweet_potato_only,0.343649,0,-8.4
Solomon Islands_2008,Solomon Islands,2008,mixed_equal,3.413202,0,-8.4
Tonga_1979,Tonga,1979,cassava_only,-30.145931,30.145931,-19.5
Tonga_1979,Tonga,1979,taro_only,-8.468125,8.468125,-19.5
Tonga_1979,Tonga,1979,sweet_potato_only,7.438592,0,-19.5
Tonga_1979,Tonga,1979,mixed_equal,-8.748548,8.748548,-19.5
Tonga_1980,Tonga,1980,cassava_only,-32.815092,32.815092,-16.5
Tonga_1980,Tonga,1980,taro_only,-8.288571,8.288571,-16.5
Tonga_1980,Tonga,1980,sweet_potato_only,-0.831951,0.831951,-16.5
Tonga_1980,Tonga,1980,mixed_equal,-13.106567,13.106567,-16.5
Tonga_1981,Tonga,1981,cassava_only,-32.633764,32.633764,-14.8
Tonga_1981,Tonga,1981,taro_only,-8.069395,8.069395,-14.8
Tonga_1981,Tonga,1981,sweet_potato_only,-0.076201,0.076201,-14.8
Tonga_1981,Tonga,1981,mixed_equal,-12.774054,12.774054,-14.8
Tonga_1983,Tonga,1983,cassava_only,-29.955671,29.955671,-26.0
Tonga_1983,Tonga,1983,taro_only,-7.478396,7.478396,-26.0
Tonga_1983,Tonga,1983,sweet_potato_only,0.214593,0,-26.0
Tonga_1983,Tonga,1983,mixed_equal,-11.808027,11.808027,-26.0
Tonga_1986,Tonga,1986,cassava_only,-24.54355,24.54355,-13.4
Tonga_1986,Tonga,1986,taro_only,-6.00301,6.00301,-13.4
Tonga_1986,Tonga,1986,sweet_potato_only,1.425513,0,-13.4
Tonga_1986,Tonga,1986,mixed_equal,-9.36772,9.36772,-13.4
Tonga_1987,Tonga,1987,cassava_only,-11.013666,11.013666,-26.3
Tonga_1987,Tonga,1987,taro_only,-5.260212,5.260212,-26.3
Tonga_1987,Tonga,1987,sweet_potato_only,2.72744,0,-26.3
Tonga_1987,Tonga,1987,mixed_equal,-4.073042,4.073042,-26.3
Tonga_1994,Tonga,1994,cassava_only,15.271838,0,-16.1
Tonga_1994,Tonga,1994,taro_only,23.086134,0,-16.1
Tonga_1994,Tonga,1994,sweet_potato_only,4.077262,0,-16.1
Tonga_1994,Tonga,1994,mixed_equal,13.019492,0,-16.1
Tonga_1998,Tonga,1998,cassava_only,13.053247,0,-21.8
Tonga_1998,Tonga,1998,taro_only,16.752231,0,-21.8
Tonga_1998,Tonga,1998,sweet_potato_only,5.272017,0,-21.8
Tonga_1998,Tonga,1998,mixed_equal,11.119819,0,-21.8
Tonga_2003,Tonga,2003,cassava_only,1.67319,0,-17.0
Tonga_2003,Tonga,2003,taro_only,8.669109,0,-17.0
Tonga_2003,Tonga,2003,sweet_potato_only,5.915728,0,-17.0
Tonga_2003,Tonga,2003,mixed_equal,4.911717,0,-17.0
Tonga_2015,Tonga,2015,cassava_only,2.141017,0,-21.5
Tonga_2015,Tonga,2015,taro_only,-3.637185,3.637185,-21.5
Tonga_2015,Tonga,2015,sweet_potato_only,-3.336966,3.336966,-21.5
Tonga_2015,Tonga,2015,mixed_equal,-1.00654,1.00654,-21.5
